"unitid","institution name","year","C2009_A.CIP Code -  2000 Classification","CipTitle","C2009_A.First or Second Major","C2009_A.Award Level code","C2009_A_RV.Grand total","IDX_C"
"108232","Academy of Art University","2009","'11'","Computer and information sciences and support services.","First major","Associate's degree","3","-2"
"108232","Academy of Art University","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","33","-2"
"108232","Academy of Art University","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","25","-2"
"108250","ITT Technical Institute-Rancho Cordova","2009","'11'","Computer and information sciences and support services.","First major","Associate's degree","70","-2"
"108250","ITT Technical Institute-Rancho Cordova","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","16","-2"
"108250","ITT Technical Institute-Rancho Cordova","2009","'15'","Engineering technologies/technicians.","First major","Associate's degree","74","-2"
"108250","ITT Technical Institute-Rancho Cordova","2009","'15'","Engineering technologies/technicians.","First major","Bachelor's degree","20","-2"
"108667","College of Alameda","2009","'11'","Computer and information sciences and support services.","First major","Award of less than 1 academic year","2","-2"
"108667","College of Alameda","2009","'11'","Computer and information sciences and support services.","First major","Associate's degree","0","-2"
"108667","College of Alameda","2009","'27'","Mathematics and statistics.","First major","Associate's degree","0","-2"
"108807","Allan Hancock College","2009","'11'","Computer and information sciences and support services.","First major","Award of less than 1 academic year","14","-2"
"108807","Allan Hancock College","2009","'11'","Computer and information sciences and support services.","First major","Award of at least 1 but less than 2 academic years","3","-2"
"108807","Allan Hancock College","2009","'11'","Computer and information sciences and support services.","First major","Associate's degree","8","-2"
"108807","Allan Hancock College","2009","'14'","Engineering.","First major","Associate's degree","6","-2"
"108807","Allan Hancock College","2009","'15'","Engineering technologies/technicians.","First major","Award of less than 1 academic year","4","-2"
"108807","Allan Hancock College","2009","'15'","Engineering technologies/technicians.","First major","Award of at least 1 but less than 2 academic years","0","-2"
"108807","Allan Hancock College","2009","'15'","Engineering technologies/technicians.","First major","Associate's degree","3","-2"
"108807","Allan Hancock College","2009","'27'","Mathematics and statistics.","First major","Associate's degree","11","-2"
"108807","Allan Hancock College","2009","'40'","Physical sciences.","First major","Associate's degree","13","-2"
"109208","American River College","2009","'11'","Computer and information sciences and support services.","First major","Award of less than 1 academic year","26","-2"
"109208","American River College","2009","'11'","Computer and information sciences and support services.","First major","Award of at least 1 but less than 2 academic years","2","-2"
"109208","American River College","2009","'11'","Computer and information sciences and support services.","First major","Associate's degree","35","-2"
"109208","American River College","2009","'14'","Engineering.","First major","Associate's degree","0","-2"
"109208","American River College","2009","'15'","Engineering technologies/technicians.","First major","Award of at least 1 but less than 2 academic years","7","-2"
"109208","American River College","2009","'15'","Engineering technologies/technicians.","First major","Associate's degree","14","-2"
"109208","American River College","2009","'27'","Mathematics and statistics.","First major","Associate's degree","12","-2"
"109208","American River College","2009","'40'","Physical sciences.","First major","Associate's degree","64","-2"
"109350","Antelope Valley College","2009","'11'","Computer and information sciences and support services.","First major","Award of less than 1 academic year","7","-2"
"109350","Antelope Valley College","2009","'11'","Computer and information sciences and support services.","First major","Award of at least 1 but less than 2 academic years","12","-2"
"109350","Antelope Valley College","2009","'11'","Computer and information sciences and support services.","First major","Associate's degree","22","-2"
"109350","Antelope Valley College","2009","'14'","Engineering.","First major","Associate's degree","0","-2"
"109350","Antelope Valley College","2009","'15'","Engineering technologies/technicians.","First major","Award of less than 1 academic year","28","-2"
"109350","Antelope Valley College","2009","'15'","Engineering technologies/technicians.","First major","Award of at least 1 but less than 2 academic years","3","-2"
"109350","Antelope Valley College","2009","'15'","Engineering technologies/technicians.","First major","Associate's degree","7","-2"
"109350","Antelope Valley College","2009","'27'","Mathematics and statistics.","First major","Associate's degree","8","-2"
"109350","Antelope Valley College","2009","'40'","Physical sciences.","First major","Associate's degree","2","-2"
"109785","Azusa Pacific University","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","9","-2"
"109785","Azusa Pacific University","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","14","-2"
"109785","Azusa Pacific University","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","1","-2"
