"unitid","institution name","year","C2011_A.First or Second Major","C2011_A.CIP Code -  2010 Classification","CipTitle","C2011_A.Award Level code","C2011_A_RV.Grand total","IDX_C"
"108232","Academy of Art University","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","5","-2"
"108232","Academy of Art University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","43","-2"
"108232","Academy of Art University","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","54","-2"
"108250","ITT Technical Institute-Rancho Cordova","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","51","-2"
"108250","ITT Technical Institute-Rancho Cordova","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","15","-2"
"108250","ITT Technical Institute-Rancho Cordova","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","68","-2"
"108250","ITT Technical Institute-Rancho Cordova","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","11","-2"
"108667","College of Alameda","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","3","-2"
"108667","College of Alameda","2011","First major","'27'","Mathematics and Statistics","Associate's degree","1","-2"
"108807","Allan Hancock College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","14","-2"
"108807","Allan Hancock College","2011","First major","'14'","Engineering","Associate's degree","15","-2"
"108807","Allan Hancock College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","5","-2"
"108807","Allan Hancock College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","27","-2"
"108807","Allan Hancock College","2011","First major","'40'","Physical Sciences","Associate's degree","34","-2"
"109208","American River College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","30","-2"
"109208","American River College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","19","-2"
"109208","American River College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","19","-2"
"109208","American River College","2011","First major","'40'","Physical Sciences","Associate's degree","94","-2"
"109350","Antelope Valley College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","25","-2"
"109350","Antelope Valley College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","17","-2"
"109350","Antelope Valley College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","14","-2"
"109350","Antelope Valley College","2011","First major","'40'","Physical Sciences","Associate's degree","5","-2"
"109785","Azusa Pacific University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","14","-2"
"109785","Azusa Pacific University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","6","-2"
"109785","Azusa Pacific University","2011","First major","'40'","Physical Sciences","Bachelor's degree","6","-2"
"109785","Azusa Pacific University","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"109785","Azusa Pacific University","2011","Second major","'40'","Physical Sciences","Bachelor's degree","2","-2"
"109819","Bakersfield College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","10","-2"
"109819","Bakersfield College","2011","First major","'14'","Engineering","Associate's degree","1","-2"
"109819","Bakersfield College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","8","-2"
"109819","Bakersfield College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","6","-2"
"109819","Bakersfield College","2011","First major","'40'","Physical Sciences","Associate's degree","5","-2"
"109907","Barstow Community College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","9","-2"
"110060","Bethesda University of California","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"110097","Biola University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","4","-2"
"110097","Biola University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","4","-2"
"110097","Biola University","2011","First major","'40'","Physical Sciences","Bachelor's degree","5","-2"
"110246","Butte College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","9","-2"
"110246","Butte College","2011","First major","'14'","Engineering","Associate's degree","2","-2"
"110246","Butte College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","3","-2"
"110246","Butte College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","7","-2"
"110246","Butte College","2011","First major","'40'","Physical Sciences","Associate's degree","6","-2"
"110334","Cabrillo College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","16","-2"
"110334","Cabrillo College","2011","First major","'14'","Engineering","Associate's degree","5","-2"
"110334","Cabrillo College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","7","-2"
"110334","Cabrillo College","2011","First major","'40'","Physical Sciences","Associate's degree","9","-2"
"110361","California Baptist University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"110361","California Baptist University","2011","First major","'14'","Engineering","Bachelor's degree","17","-2"
"110361","California Baptist University","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","0","-2"
"110361","California Baptist University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","11","-2"
"110361","California Baptist University","2011","First major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"110404","California Institute of Technology","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","27","-2"
"110404","California Institute of Technology","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","4","-2"
"110404","California Institute of Technology","2011","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship (new degree classification)","4","-2"
"110404","California Institute of Technology","2011","First major","'14'","Engineering","Bachelor's degree","97","-2"
"110404","California Institute of Technology","2011","First major","'14'","Engineering","Master's degree","78","-2"
"110404","California Institute of Technology","2011","First major","'14'","Engineering","Doctor's degree - research/scholarship (new degree classification)","62","-2"
"110404","California Institute of Technology","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","27","-2"
"110404","California Institute of Technology","2011","First major","'27'","Mathematics and Statistics","Master's degree","4","-2"
"110404","California Institute of Technology","2011","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship (new degree classification)","9","-2"
"110404","California Institute of Technology","2011","First major","'40'","Physical Sciences","Bachelor's degree","58","-2"
"110404","California Institute of Technology","2011","First major","'40'","Physical Sciences","Master's degree","26","-2"
"110404","California Institute of Technology","2011","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","69","-2"
"110413","California Lutheran University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","18","-2"
"110413","California Lutheran University","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","22","-2"
"110413","California Lutheran University","2011","First major","'14'","Engineering","Bachelor's degree","2","-2"
"110413","California Lutheran University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","4","-2"
