"unitid","institution name","year","C2012_A.First or Second Major","C2012_A.CIP Code -  2010 Classification","CipTitle","C2012_A.Award Level code","C2012_A.Grand total","IDX_C"
"108232","Academy of Art University","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","10","-2"
"108232","Academy of Art University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","58","-2"
"108232","Academy of Art University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","68","-2"
"108250","ITT Technical Institute-Rancho Cordova","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","62","-2"
"108250","ITT Technical Institute-Rancho Cordova","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","17","-2"
"108250","ITT Technical Institute-Rancho Cordova","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","71","-2"
"108250","ITT Technical Institute-Rancho Cordova","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","15","-2"
"108667","College of Alameda","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","4","-2"
"108667","College of Alameda","2012","First major","'27'","Mathematics and Statistics","Associate's degree","3","-2"
"108807","Allan Hancock College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","18","-2"
"108807","Allan Hancock College","2012","First major","'14'","Engineering","Associate's degree","10","-2"
"108807","Allan Hancock College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","4","-2"
"108807","Allan Hancock College","2012","First major","'27'","Mathematics and Statistics","Associate's degree","20","-2"
"108807","Allan Hancock College","2012","First major","'40'","Physical Sciences","Associate's degree","18","-2"
"109208","American River College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","65","-2"
"109208","American River College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","21","-2"
"109208","American River College","2012","First major","'27'","Mathematics and Statistics","Associate's degree","20","-2"
"109208","American River College","2012","First major","'40'","Physical Sciences","Associate's degree","105","-2"
"109350","Antelope Valley College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","26","-2"
"109350","Antelope Valley College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","16","-2"
"109350","Antelope Valley College","2012","First major","'27'","Mathematics and Statistics","Associate's degree","20","-2"
"109350","Antelope Valley College","2012","First major","'40'","Physical Sciences","Associate's degree","9","-2"
"109785","Azusa Pacific University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","17","-2"
"109785","Azusa Pacific University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","5","-2"
"109785","Azusa Pacific University","2012","First major","'40'","Physical Sciences","Bachelor's degree","5","-2"
"109785","Azusa Pacific University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"109785","Azusa Pacific University","2012","Second major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"109819","Bakersfield College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","3","-2"
"109819","Bakersfield College","2012","First major","'14'","Engineering","Associate's degree","1","-2"
"109819","Bakersfield College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","4","-2"
"109819","Bakersfield College","2012","First major","'27'","Mathematics and Statistics","Associate's degree","4","-2"
"109819","Bakersfield College","2012","First major","'40'","Physical Sciences","Associate's degree","3","-2"
"109907","Barstow Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","6","-2"
"110060","Bethesda University of California","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"110097","Biola University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","9","-2"
"110097","Biola University","2012","First major","'14'","Engineering","Bachelor's degree","1","-2"
"110097","Biola University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","5","-2"
"110097","Biola University","2012","First major","'40'","Physical Sciences","Bachelor's degree","5","-2"
"110246","Butte College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","15","-2"
"110246","Butte College","2012","First major","'14'","Engineering","Associate's degree","3","-2"
"110246","Butte College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","3","-2"
"110246","Butte College","2012","First major","'27'","Mathematics and Statistics","Associate's degree","8","-2"
"110246","Butte College","2012","First major","'40'","Physical Sciences","Associate's degree","5","-2"
"110334","Cabrillo College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","18","-2"
"110334","Cabrillo College","2012","First major","'14'","Engineering","Associate's degree","7","-2"
"110334","Cabrillo College","2012","First major","'27'","Mathematics and Statistics","Associate's degree","12","-2"
"110334","Cabrillo College","2012","First major","'40'","Physical Sciences","Associate's degree","12","-2"
"110361","California Baptist University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"110361","California Baptist University","2012","First major","'14'","Engineering","Bachelor's degree","29","-2"
"110361","California Baptist University","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","0","-2"
