"unitid","institution name","year","C2010_A.First or Second Major","C2010_A.CIP Code -  2010 Classification","CipTitle","C2010_A.Award Level code","C2010_A_RV.Grand total","IDX_C"
"164447","American International College","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"164447","American International College","2010","First major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164447","American International College","2010","First major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"164447","American International College","2010","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164465","Amherst College","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","8","-2"
"164465","Amherst College","2010","First major","'27'","Mathematics and Statistics","Bachelor's degree","14","-2"
"164465","Amherst College","2010","First major","'40'","Physical Sciences","Bachelor's degree","27","-2"
"164465","Amherst College","2010","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"164465","Amherst College","2010","Second major","'27'","Mathematics and Statistics","Bachelor's degree","7","-2"
"164465","Amherst College","2010","Second major","'40'","Physical Sciences","Bachelor's degree","7","-2"
"164492","Anna Maria College","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"164492","Anna Maria College","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","4","-2"
"164562","Assumption College","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","4","-2"
"164562","Assumption College","2010","First major","'27'","Mathematics and Statistics","Bachelor's degree","15","-2"
"164562","Assumption College","2010","First major","'40'","Physical Sciences","Bachelor's degree","6","-2"
"164562","Assumption College","2010","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"164562","Assumption College","2010","Second major","'27'","Mathematics and Statistics","Bachelor's degree","1","-2"
"164562","Assumption College","2010","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"164632","Bay Path College","2010","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","44","-2"
"164720","Becker College","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","4","-2"
"164739","Bentley University","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","35","-2"
"164739","Bentley University","2010","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","33","-2"
"164739","Bentley University","2010","First major","'27'","Mathematics and Statistics","Bachelor's degree","15","-2"
"164739","Bentley University","2010","Second major","'11'","Computer and Information Sciences and Support Services","Master's degree","2","-2"
"164775","Berkshire Community College","2010","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","2","-2"
"164775","Berkshire Community College","2010","First major","'14'","Engineering","Associate's degree","2","-2"
"164775","Berkshire Community College","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","3","-2"
"164924","Boston College","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","30","-2"
"164924","Boston College","2010","First major","'27'","Mathematics and Statistics","Bachelor's degree","25","-2"
"164924","Boston College","2010","First major","'27'","Mathematics and Statistics","Master's degree","4","-2"
"164924","Boston College","2010","First major","'40'","Physical Sciences","Bachelor's degree","40","-2"
"164924","Boston College","2010","First major","'40'","Physical Sciences","Master's degree","16","-2"
"164924","Boston College","2010","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","23","-2"
"164924","Boston College","2010","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","35","-2"
"164924","Boston College","2010","Second major","'27'","Mathematics and Statistics","Bachelor's degree","21","-2"
"164924","Boston College","2010","Second major","'40'","Physical Sciences","Bachelor's degree","6","-2"
"164988","Boston University","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","28","-2"
"164988","Boston University","2010","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","208","-2"
