"unitid","institution name","year","C2012_A.First or Second Major","C2012_A.CIP Code -  2010 Classification","CipTitle","C2012_A.Award Level code","C2012_A.Grand total","IDX_C"
"164447","American International College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"164447","American International College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164447","American International College","2012","First major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"164447","American International College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164465","Amherst College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","11","-2"
"164465","Amherst College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","10","-2"
"164465","Amherst College","2012","First major","'40'","Physical Sciences","Bachelor's degree","21","-2"
"164465","Amherst College","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","2","-2"
"164465","Amherst College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","12","-2"
"164465","Amherst College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","12","-2"
"164492","Anna Maria College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","2","-2"
"164562","Assumption College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","3","-2"
"164562","Assumption College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","16","-2"
"164562","Assumption College","2012","First major","'40'","Physical Sciences","Bachelor's degree","12","-2"
"164562","Assumption College","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"164562","Assumption College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164562","Assumption College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"164739","Bentley University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","43","-2"
"164739","Bentley University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","52","-2"
"164739","Bentley University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","21","-2"
"164739","Bentley University","2012","Second major","'11'","Computer and Information Sciences and Support Services","Master's degree","5","-2"
"164775","Berkshire Community College","2012","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","8","-2"
"164775","Berkshire Community College","2012","First major","'14'","Engineering","Associate's degree","3","-2"
"164775","Berkshire Community College","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","4","-2"
"164924","Boston College","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","37","-2"
"164924","Boston College","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","45","-2"
"164924","Boston College","2012","First major","'27'","Mathematics and Statistics","Master's degree","2","-2"
"164924","Boston College","2012","First major","'40'","Physical Sciences","Bachelor's degree","45","-2"
"164924","Boston College","2012","First major","'40'","Physical Sciences","Master's degree","13","-2"
"164924","Boston College","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","19","-2"
"164924","Boston College","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","35","-2"
"164924","Boston College","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","12","-2"
"164924","Boston College","2012","Second major","'40'","Physical Sciences","Bachelor's degree","2","-2"
"164988","Boston University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","44","-2"
"164988","Boston University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","285","-2"
"164988","Boston University","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","4","-2"
"164988","Boston University","2012","First major","'14'","Engineering","Bachelor's degree","279","-2"
"164988","Boston University","2012","First major","'14'","Engineering","Master's degree","181","-2"
"164988","Boston University","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","54","-2"
"164988","Boston University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","40","-2"
"164988","Boston University","2012","First major","'27'","Mathematics and Statistics","Master's degree","7","-2"
"164988","Boston University","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","7","-2"
"164988","Boston University","2012","First major","'40'","Physical Sciences","Bachelor's degree","71","-2"
"164988","Boston University","2012","First major","'40'","Physical Sciences","Master's degree","50","-2"
"164988","Boston University","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","37","-2"
"165015","Brandeis University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","20","-2"
"165015","Brandeis University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","111","-2"
"165015","Brandeis University","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","1","-2"
"165015","Brandeis University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","17","-2"
"165015","Brandeis University","2012","First major","'27'","Mathematics and Statistics","Master's degree","2","-2"
"165015","Brandeis University","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","7","-2"
"165015","Brandeis University","2012","First major","'40'","Physical Sciences","Bachelor's degree","23","-2"
"165015","Brandeis University","2012","First major","'40'","Physical Sciences","Master's degree","9","-2"
"165015","Brandeis University","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","11","-2"
"165015","Brandeis University","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","6","-2"
"165015","Brandeis University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","24","-2"
"165015","Brandeis University","2012","Second major","'40'","Physical Sciences","Bachelor's degree","10","-2"
"165024","Bridgewater State University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","19","-2"
"165024","Bridgewater State University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","11","-2"
"165024","Bridgewater State University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","39","-2"
